id,created_at,favorite_count,retweet_count,text
1486108878127390724,2022-01-25 22:49:01+00:00,42,6,"Fueling inspired trips in more ways than one.
#KiaSorento #PHEV #AltFuel

https://t.co/DXD439e3CW https://t.co/OcN2aDQu57"
1485739694319190016,2022-01-24 22:22:01+00:00,38,9,"Your nine-to-five could use a little zero-to-sixty. #KiaForte #201HP #MotivationMonday

https://t.co/ZaIBqdyWwr https://t.co/G73nox1NlJ"
1485717516420669443,2022-01-24 20:53:53+00:00,9,5,Which emoji best describes your Kia? #NationalComplimentDay
1484982209236946948,2022-01-22 20:12:02+00:00,134,17,"Forging a family 4.7-seconds at a time. #KiaStinger

IG: @ohstinger https://t.co/8JL4WaMquX"
1484618559452024835,2022-01-21 20:07:02+00:00,30,8,"With 310-mile range, you can tell range anxiety to take a hike. 
#KiaEV6 

https://t.co/Sp8khlXH5Y https://t.co/q0z2t6Uxle"
1484227992788348932,2022-01-20 18:15:03+00:00,54,8,"All-electric comes in all-wheel-drive or rear-wheel-drive. Which one moves you? #KiaEV6

https://t.co/Sp8khlXH5Y https://t.co/OAlZbKKe5S"
1483904354302279682,2022-01-19 20:49:02+00:00,64,8,"Get inspired by beauty, brains and a battery that goes the distance. #KiaEV6

https://t.co/Sp8khlXH5Y https://t.co/jhNALwlyiB"
1483502162202161153,2022-01-18 18:10:52+00:00,14,1,Traffic light turns green. How do you roll? #KiaForte
1482087653633933318,2022-01-14 20:30:07+00:00,60,8,"6-Speed Manual or 7-Speed Automatic Dual Clutch? There’s no wrong way to GO!  #KiaForte

https://t.co/592qwuJz2d https://t.co/ptQnauC9lP"
1481720716051554308,2022-01-13 20:12:02+00:00,46,9,"You’ll never see stoplights the same way again. #KiaForteGT

https://t.co/592qwuJz2d https://t.co/dZ2tVFmzvb"
1481361345568284672,2022-01-12 20:24:01+00:00,55,11,"Track-inspired. City-approved. 201-horsepowered. #KiaForteGT

https://t.co/592qwuJz2d https://t.co/xmOF6Dz3Dv"
1481009278152749056,2022-01-11 21:05:02+00:00,44,5,"The throne for those who rule the road. #KiaK5

https://t.co/rSgnSCSqJj https://t.co/YLpaWaWyIz"
1480978650992234496,2022-01-11 19:03:20+00:00,26,2,Who’s up for a road trip in 2022? Tell us your most inspiring destination. #KiaRoadTripping #MovementThatInspires
1480634314245259268,2022-01-10 20:15:04+00:00,45,8,"Made to make mountains more fun. #KiaSeltos 

https://t.co/Zcp0esiiO0 https://t.co/HM2Rp4YnPR"
1479549909917487107,2022-01-07 20:26:01+00:00,75,8,"The rebirth of our first-born SUV. Meet the bigger, bolder #KiaSportage #Hybrid 

https://t.co/UW27ojikK1 https://t.co/Fy6k7LSfky"
1479183998777802753,2022-01-06 20:12:01+00:00,69,15,"All-Wheel-Drive for all the best destinations. #KiaSportage

https://t.co/UW27ojikK1 https://t.co/UsNvm5VpWP"
1478828658529865732,2022-01-05 20:40:02+00:00,49,7,"Take the straightest path to the curves. Performance meets efficiency in the 226HP, 39MPG #KiaSportage #Hybrid 

https://t.co/7ivoq9PaZr https://t.co/ij3D6jgiBP"
1478472308083900416,2022-01-04 21:04:01+00:00,37,5,Set the tone with the perfect color. Find yours with our colorizer https://t.co/f4Z1aHZUru #KiaEV6 https://t.co/zoc9FRec3e
1478094570122579971,2022-01-03 20:03:01+00:00,52,8,"Bring some attitude to your altitude. 
#KiaTelluride #NightfallEdition

https://t.co/TcK7yNVimP https://t.co/rchwWW08Ri"
1477377980129234949,2022-01-01 20:35:33+00:00,53,7,The new year will bring new inspirations. New ways to find your potential and be moved. 2022 here we come! #KiaNYE https://t.co/u2qJfpsboX
1476996891816738816,2021-12-31 19:21:14+00:00,46,9,2022 is almost here! What will your inspiration be for the new year? Countdown to #KiaNYE https://t.co/x1r4eBH6xS
1476611867179159555,2021-12-30 17:51:17+00:00,71,11,"After 4,000 miles, we’ve reached Times Square. We were powered by a #KiaTelluride and #KiaEV6. And inspired by America. Join us for #KiaNYE https://t.co/9g30dUjoDL"
1476243776213446656,2021-12-29 17:28:38+00:00,9,1,Where will you find Inspiration in 2022?
1476236781016293384,2021-12-29 17:00:50+00:00,36,7,"From personal goals to family plans, inspirations for 2022 come in all forms. We’re bringing them along with the world-famous numerals to Times Square to celebrate New Year’s Eve. #KiaNYE https://t.co/4TmwOi0BPS"
1474156694682812418,2021-12-23 23:15:19+00:00,963,124,"From personal goals to family plans, inspirations for 2022 come in all forms. We’re bringing them along with the world-famous numerals to Times Square to celebrate New Year’s Eve. #KiaNYE 

⚡️ “Kia’s inspiration journey to 2022” by @Kia https://t.co/KffnXrN0Ed"
1474101506609750030,2021-12-23 19:36:01+00:00,60,10,"Kia is supporting education by making $750,000 in donations to fund scholarships for underprivileged students across the U.S. Through our community partners, 268 student scholarships will help students to achieve higher education goals.  @HACUNews  @UNCF https://t.co/ot4AV30d64"
1473844363360935943,2021-12-23 02:34:13+00:00,35,13,We’re making connections and finding out how America is headed into 2022 with monumental inspirations. Tell us what inspires you? Follow the journey here to #KiaNYE https://t.co/qTabmLJfs8
1473705277098766339,2021-12-22 17:21:32+00:00,13,0,We're polling: Best road for turns?
1473420268634787858,2021-12-21 22:29:01+00:00,62,8,"The fun comes out at night. The all-new Kia Sportage X-Pro is here. #KiaSportage

https://t.co/7ivoq9PaZr https://t.co/gssX7v5nbN"
1473026676200255493,2021-12-20 20:25:01+00:00,103,12,The SUV that continues to inspire. We are proud to announce that the Kia Telluride has been named “Edmunds Top Rated SUV” for the third year in a row. https://t.co/vzCFvxRjUB
1472659332961611786,2021-12-19 20:05:20+00:00,49,8,One million miles. One million memories. Congratulations to our first inductee into all-new Kia High Mileage Club. Please share your high mileage Kia below and tag @kiausa and #kiahighmileageclub for a chance to be featured. https://t.co/uqow4beZnx
1472414892967800838,2021-12-19 03:54:01+00:00,62,6,"Expectations, eat dust. #KiaForteGT

https://t.co/592qwuJz2d https://t.co/ABSxA8BRYJ"
1472283841536606209,2021-12-18 19:13:16+00:00,35,4,Our numerals journey is on the move. We bet on being inspired by Las Vegas. And it paid off. Share what inspires you for 2022 below ↓ #KiaNYE https://t.co/DdQKtWbVD7
1471934983975624704,2021-12-17 20:07:02+00:00,45,6,"Incapable of boredom. #KiaSportage

https://t.co/7ivoq9PaZr https://t.co/bPYp04zeq5"
1471604532513685504,2021-12-16 22:13:56+00:00,47,9,"Leave your mark with a lighter footprint. 
#KiaSportageX-Pro 

https://t.co/7ivoqa6LQZ https://t.co/0d6H6HsCRh"
1471285703564840963,2021-12-16 01:07:01+00:00,52,10,"Fully electric and built to inspire, the #KiaEV6 is named “Crossover of the Year” for 2021 at @TopGear Awards. 

https://t.co/A9n4V2Dpsm https://t.co/7mz1ncPdax"
1471220779476004864,2021-12-15 20:49:02+00:00,41,3,"Look good while getting lost. #KiaSportage

https://t.co/axubekpWUm https://t.co/5b1FHqClpp"
1470857386999037954,2021-12-14 20:45:02+00:00,108,11,It runs on electric impulses. Yours. #KiaEV6 https://t.co/MLKLrWB97M
1470488873356640264,2021-12-13 20:20:42+00:00,17,3,Feel the rush. Feel the inspiration to move. #MovementMondays https://t.co/IiuElLhE7B
1469493645539749890,2021-12-11 02:26:01+00:00,64,12,Big news to get you even more charged up on EV6! We’ve released details on the exclusive GT-Line and EX+ trim option. Discover the EV6 that speaks to you and experience our colorizer at https://t.co/f4Z1aHZUru #KiaEV6 https://t.co/qGUv0MARF3
1469389710703439880,2021-12-10 19:33:01+00:00,92,22,The Road to 2022 begins today! We're taking Times Square’s world famous numbers from LA to NYC and discovering what inspires people along the way. Follow us on the road to #KiaNYE https://t.co/MOLzUvBtXR
1468346084325998595,2021-12-07 22:26:01+00:00,54,5,"Private jets had their day. It’s time for Kia Telluride. #KiaTelluride

https://t.co/rNHMf2iFiX https://t.co/gvIK4kmfPj"
1467205824565108741,2021-12-04 18:55:02+00:00,45,8,"If a #KiaSeltos makes a splash in the forest and there’s no one to see it... 

https://t.co/Zcp0esiiO0 https://t.co/jgwts4Z3X1"
1466868346733961223,2021-12-03 20:34:01+00:00,55,11,"Adventure, squared. #KiaSeltos #KiaTelluride 

https://t.co/TcK7yNVimP https://t.co/rZZUEwJdKP"
